id,pincode,city,state,isActive,createdAt,updatedAt,district,officeName,country
1cecbb9d-61b9-48c6-b9b0-2e8ab56fcc35,110001,New Delhi,Delhi,t,2026-06-27 17:32:01.002,2026-06-27 17:32:01.002,,,India
132a458b-f861-4d0d-b470-aca6c9972ef9,110002,New Delhi,Delhi,t,2026-06-27 17:32:01.002,2026-06-27 17:32:01.002,,,India
9a668615-807a-452a-9183-a29176e5989a,110003,New Delhi,Delhi,t,2026-06-27 17:32:01.002,2026-06-27 17:32:01.002,,,India
17555620-d078-48ee-8515-92111fcc042d,110004,New Delhi,Delhi,t,2026-06-27 17:32:01.002,2026-06-27 17:32:01.002,,,India
bcee70c3-722f-4a86-9589-fab450d77136,110005,New Delhi,Delhi,t,2026-06-27 17:32:01.002,2026-06-27 17:32:01.002,,,India
b79739c8-e126-4624-8814-8da97e6b6247,110006,New Delhi,Delhi,t,2026-06-27 17:32:01.002,2026-06-27 17:32:01.002,,,India
2446ad54-a38a-47c1-8d57-1d647261438b,110007,New Delhi,Delhi,t,2026-06-27 17:32:01.002,2026-06-27 17:32:01.002,,,India
0b5edc7f-5fbb-416b-a31e-4d8d1082e0ff,110008,New Delhi,Delhi,t,2026-06-27 17:32:01.002,2026-06-27 17:32:01.002,,,India
febfd31b-ea4c-4d35-884e-cd471ad3f52b,110009,New Delhi,Delhi,t,2026-06-27 17:32:01.002,2026-06-27 17:32:01.002,,,India
fe00c7ad-1d37-465c-be19-fd17f4043865,110010,New Delhi,Delhi,t,2026-06-27 17:32:01.002,2026-06-27 17:32:01.002,,,India
e167a93b-83a6-4d17-b206-929976152ee8,110011,New Delhi,Delhi,t,2026-06-27 17:32:01.002,2026-06-27 17:32:01.002,,,India
c793aa7e-6e7c-4a7b-8838-5e4e8776eb1a,110012,New Delhi,Delhi,t,2026-06-27 17:32:01.002,2026-06-27 17:32:01.002,,,India
fc2abb0a-bb11-4429-88c8-4c25bfd364c6,110013,New Delhi,Delhi,t,2026-06-27 17:32:01.002,2026-06-27 17:32:01.002,,,India
c7d327ed-d7fe-4fde-b365-d5ba895a3c29,110014,New Delhi,Delhi,t,2026-06-27 17:32:01.002,2026-06-27 17:32:01.002,,,India
16d4bc8c-6736-4478-8ad4-d02bf8bd5816,110015,New Delhi,Delhi,t,2026-06-27 17:32:01.002,2026-06-27 17:32:01.002,,,India
911ca927-f512-407e-a055-2e984d145239,110016,New Delhi,Delhi,t,2026-06-27 17:32:01.002,2026-06-27 17:32:01.002,,,India
14404ba3-7ae9-4275-acae-6ddbc78299a4,110017,New Delhi,Delhi,t,2026-06-27 17:32:01.002,2026-06-27 17:32:01.002,,,India
d21ffdca-90af-44c2-95d5-03ab303e397a,110019,New Delhi,Delhi,t,2026-06-27 17:32:01.002,2026-06-27 17:32:01.002,,,India
7249c9a0-899a-4e00-9b10-ce070ec9871c,110020,New Delhi,Delhi,t,2026-06-27 17:32:01.002,2026-06-27 17:32:01.002,,,India
10c40200-d533-4f50-94dd-e313a709f886,110021,New Delhi,Delhi,t,2026-06-27 17:32:01.002,2026-06-27 17:32:01.002,,,India
e56353a1-2a01-4965-9850-e2f34dd3bf35,110022,New Delhi,Delhi,t,2026-06-27 17:32:01.002,2026-06-27 17:32:01.002,,,India
92f84971-ed47-4628-945e-ef1495389dff,110023,New Delhi,Delhi,t,2026-06-27 17:32:01.002,2026-06-27 17:32:01.002,,,India
ff72c421-740e-4045-87a9-0fb9eb0ba189,110024,New Delhi,Delhi,t,2026-06-27 17:32:01.002,2026-06-27 17:32:01.002,,,India
8dc013e7-255d-45aa-9183-bfa485eb4dfe,110025,New Delhi,Delhi,t,2026-06-27 17:32:01.002,2026-06-27 17:32:01.002,,,India
70a8c98e-0357-4083-bc12-159ee203f96e,110030,New Delhi,Delhi,t,2026-06-27 17:32:01.002,2026-06-27 17:32:01.002,,,India
3f23bd9b-aecd-4fb7-9ff7-bb3bbb7ad37f,110045,New Delhi,Delhi,t,2026-06-27 17:32:01.002,2026-06-27 17:32:01.002,,,India
0c90ab97-0f60-4f1c-933b-3434379688e3,110051,New Delhi,Delhi,t,2026-06-27 17:32:01.002,2026-06-27 17:32:01.002,,,India
